@relation 'features-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5'

@attribute x numeric
@attribute y numeric
@attribute d numeric
@attribute ang numeric
@attribute class numeric

@data
64,56,3,90,2
64,59,1,90,2
64,60,14,90,2
64,74,1,90,2
64,75,26,-87,2
65,49,7,90,2
65,56,1,90,2
65,57,1,90,2
65,58,2,90,2
65,60,14,90,2
65,74,49,-88,2
66,25,20,90,2
66,45,48,90,2
66,93,1,90,2
66,94,77,-89,2
67,17,8,90,2
67,25,1,90,2
67,26,19,90,2
67,45,1,90,2
67,46,44,90,2
67,90,4,90,2
67,94,78,-89,2
68,16,1,90,2
68,17,8,90,2
68,25,20,90,2
68,45,28,-87,2
69,17,46,88,2
70,63,9,90,2
70,72,23,90,2
70,95,23,-87,2
71,72,1,90,2
71,73,8,90,2
71,81,14,90,2
71,95,1,90,2
71,96,9,90,2
71,105,1,90,2
71,106,89,-89,2
72,17,64,90,2
72,81,1,90,2
72,82,8,90,2
72,90,15,90,2
72,105,89,-89,2
73,16,1,90,2
73,17,73,90,2
73,90,1,90,2
73,91,1,90,2
73,92,1,90,2
73,93,76,-89,2
74,17,71,90,2
74,88,1,90,2
74,89,4,90,2
74,93,4,-75,2
75,89,2,0,2
77,89,5,78,2
78,94,1,0,2
79,94,1,90,2
79,95,2,-63,2
80,93,16,-86,2
81,77,37,90,2
81,114,98,-89,2
82,16,20,90,2
82,36,35,90,2
82,71,61,-89,2
83,10,2,90,2
83,12,2,90,2
83,14,2,90,2
83,16,1,90,2
83,17,19,90,2
83,36,1,90,2
83,37,26,90,2
83,63,1,90,2
83,64,7,90,2
83,71,1,90,2
83,72,62,-89,2
84,10,1,90,2
84,11,2,90,2
84,13,1,90,2
84,14,1,90,2
84,15,20,90,2
84,35,1,90,2
84,36,26,90,2
84,62,1,90,2
84,63,8,90,2
84,71,34,90,2
84,105,94,-89,2
85,11,3,90,2
85,14,22,90,2
85,36,27,90,2
85,63,64,90,2
85,127,1,90,2
85,128,118,-89,2
86,10,62,90,2
86,72,36,90,2
86,108,1,90,2
86,109,18,90,2
86,127,69,-89,2
87,58,1,90,2
87,59,12,90,2
87,71,1,90,2
87,72,37,90,2
87,109,12,90,2
87,121,93,-89,2
88,28,5,90,2
88,33,25,90,2
88,58,8,90,2
88,66,1,90,2
88,67,5,90,2
88,72,27,90,2
88,99,1,90,2
88,100,72,-89,2
89,28,1,90,2
89,29,3,90,2
89,32,1,90,2
89,33,16,90,2
89,49,17,90,2
89,66,33,90,2
89,99,71,-89,2
90,28,2,90,2
90,30,5,90,2
90,35,13,90,2
90,48,1,90,2
90,49,8,90,2
90,57,28,-87,2
91,29,1,90,2
91,30,12,90,2
91,42,32,90,2
91,74,48,90,2
91,122,92,-89,2
92,30,92,90,2
92,122,1,90,2
92,123,85,-89,2
93,38,7,90,2
93,45,7,90,2
93,52,19,90,2
93,71,1,90,2
93,72,30,90,2
93,102,2,90,2
93,104,18,90,2
93,122,84,-89,2
94,38,1,90,2
94,39,33,90,2
94,72,31,90,2
94,103,1,90,2
94,104,66,-89,2
95,38,66,90,2
95,104,74,-87,2
98,30,1,-45,2
99,29,2,90,2
99,31,91,90,2
99,122,93,-89,2
100,29,1,90,2
100,30,92,90,2
100,122,1,90,2
100,123,94,-89,2
101,29,21,90,2
101,50,1,45,2
102,51,1,90,2
102,52,1,-45,2
103,51,6,-80,2
104,45,1,90,2
104,46,1,-45,2
105,45,18,86,2
106,63,1,0,2
107,63,1,90,2
107,64,9,-83,2
108,55,6,-80,2
109,49,1,-45,2
110,48,1,90,2
110,49,56,90,2
110,105,45,-88,2
111,60,35,90,2
111,95,7,90,2
111,102,2,90,2
111,104,8,90,2
111,112,84,-89,2
112,28,23,90,2
112,51,8,90,2
112,59,1,90,2
112,60,35,90,2
112,95,1,90,2
112,96,1,90,2
112,97,5,90,2
112,102,1,90,2
112,103,8,90,2
112,111,1,90,2
112,112,18,90,2
112,130,11,90,2
112,141,113,-89,2
113,28,1,90,2
113,29,16,90,2
113,45,27,90,2
113,72,23,90,2
113,95,2,90,2
113,97,6,90,2
113,103,9,90,2
113,112,17,90,2
113,129,1,90,2
113,130,18,90,2
113,148,76,-89,2
114,72,1,90,2
114,73,21,90,2
114,94,36,90,2
114,130,1,90,2
114,131,7,90,2
114,138,1,90,2
114,139,8,90,2
114,147,1,90,2
114,148,111,-89,2
115,37,15,90,2
115,52,20,90,2
115,72,58,90,2
115,130,9,90,2
115,139,9,90,2
115,148,114,-89,2
116,34,2,90,2
116,36,15,90,2
116,51,1,90,2
116,52,1,90,2
116,53,75,90,2
116,128,1,90,2
116,129,94,-89,2
117,35,1,90,2
117,36,12,90,2
117,48,2,90,2
117,50,2,90,2
117,52,77,90,2
117,129,93,-89,2
118,36,12,90,2
118,48,1,90,2
118,49,47,90,2
118,96,1,90,2
118,97,49,-88,2
119,48,48,90,2
119,96,48,-88,2
120,48,1,-45,2
121,47,2,90,2
121,49,80,90,2
121,129,102,-89,2
122,27,21,90,2
122,48,1,90,2
122,49,79,90,2
122,128,1,90,2
122,129,110,-89,2
123,19,30,90,2
123,49,31,88,2
124,80,1,0,2
125,80,1,90,2
125,81,43,90,2
125,124,1,90,2
125,125,54,-88,2
126,71,53,90,2
126,124,53,-88,2
127,71,1,90,2
127,72,58,-89,2
128,14,56,90,2
128,70,1,-45,2
129,69,1,90,2
129,70,1,0,2
130,70,9,90,2
130,79,48,87,2
132,127,1,-45,2
133,126,1,90,2
133,127,53,-88,2
134,74,1,90,2
134,75,56,90,2
134,131,58,-89,2
135,73,1,90,2
135,74,56,90,2
135,130,1,90,2
135,131,53,-88,2
136,78,44,90,2
136,122,1,90,2
136,123,8,90,2
136,131,20,-87,2
137,111,11,90,2
137,122,54,-87,2
139,68,2,26,2
141,69,76,90,2
141,145,76,-89,2
142,69,1,90,2
142,70,24,90,2
142,94,12,90,2
142,106,37,-88,2
143,69,2,90,2
143,71,11,84,2
144,82,1,90,2
144,83,2,90,2
144,85,57,-88,2
145,28,53,90,2
145,81,2,90,2
145,83,1,90,2
145,84,13,90,2
145,97,31,90,2
145,128,108,-89,2
146,20,8,90,2
146,28,1,90,2
146,29,52,90,2
146,81,1,90,2
146,82,27,90,2
146,109,19,-86,2
1,3,25,90,2
1,28,1,90,2
1,29,27,-87,2
2,2,1,90,2
2,3,25,90,2
2,28,11,90,2
2,39,1,90,2
2,40,10,90,2
2,50,1,90,2
2,51,51,90,2
2,102,1,90,2
2,103,18,90,2
2,121,117,-89,2
3,4,10,90,2
3,14,2,90,2
3,16,23,90,2
3,39,11,90,2
3,50,41,90,2
3,91,1,90,2
3,92,10,90,2
3,102,19,90,2
3,121,1,90,2
3,122,117,-89,2
4,5,87,90,2
4,92,29,90,2
4,121,5,90,2
4,126,12,90,2
4,138,75,-88,2
6,63,52,-88,2
7,11,12,90,2
7,23,13,90,2
7,36,56,90,2
7,92,69,-89,2
8,23,13,90,2
8,36,1,90,2
8,37,52,90,2
8,89,1,90,2
8,90,1,90,2
8,91,1,90,2
8,92,28,-87,2
